County name
Los Angeles County
San Diego County
Orange County
Riverside County
Santa Clara County
San Bernardino County
Alameda County
Sacramento County
Contra Costa County
Fresno County
San Francisco County
Ventura County
San Mateo County
Kern County
San Joaquin County
Sonoma County
Solano County
Monterey County
Stanislaus County
Santa Barbara County
Placer County
Tulare County
Marin County
San Luis Obispo County
Santa Cruz County
Butte County
Merced County
Shasta County
El Dorado County
Yolo County
Napa County
Imperial County
Humboldt County
Kings County
Madera County
Mendocino County
Sutter County
Nevada County
Lake County
Yuba County
Siskiyou County
San Benito County
Tehama County
Tuolumne County
Calaveras County
Amador County
Lassen County
Del Norte County
Plumas County
Mariposa County
Inyo County
Glenn County
Trinity County
Colusa County
Modoc County
Mono County
Sierra County
Alpine County
