"% Households: Less than $30,000",% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level,"% Households: Less than $10,000","% Households: $100,000 or More","% Households: $150,000 to $199,999",% Families: Income At or Above Poverty Level,% Families: Income Below Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Gini Index,"% Households: $10,000 to $14,999","% Households: $125,000 to $149,999",% Total: with Health Insurance Coverage: Private Health Insurance,Median Family Income (In 2017 Inflation Adjusted Dollars),"% Households: $20,000 to $24,999","% Households: $15,000 to $19,999",Renter-Occupied Housing Units,"% Renter-Occupied Housing Units: Less than $1,000","% Households: $100,000 to $124,999","% Households: $200,000 or More",% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,% Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,Average Household Size,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage,% Total: No Health Insurance Coverage,"% Households: $30,000 to $34,999","% Households: $25,000 to $29,999",% Renter-Occupied Housing Units: Householder 15 to 24 Years,% Population 16 Years and Over: Not in Labor Force,% Population 16 Years and Over: in Labor Force,"% Households: $35,000 to $39,999",% Population 16 Years and Over: in Labor Force: Civilian,Families:,County,Census Tract,"% Renter-Occupied Housing Units: $2,000 to $2,499",% Renter-Occupied Housing Units: Less than $300,% Renter-Occupied Housing Units: $500 to $799,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,"% Renter-Occupied Housing Units: $1,000 to $2,499","% Renter-Occupied Housing Units: $2,500 to $2,999",% Renter-Occupied Housing Units: $300 to $499,"% Households: $40,000 to $44,999",% Renter-Occupied Housing Units: Householder 35 to 44 Years,Population Density (Per Sq. Mile),% Renter-Occupied Housing Units: Householder 45 to 54 Years,"% Households: $75,000 to $99,999",% Renter-Occupied Housing Units: $800 to $999,Predicted_Health_Opportunity_Index
85.37,88.83,11.17,66.15,0.0,0.0,0.0,100.0,,,0.6466,0.0,0.0,96.55,,5.38,8.46,130,6.15,0.0,0.0,67.54,32.46,,,3.03,19.88,1.86,97.93,2.07,6.92,5.38,83.85,70.57,29.43,5.38,29.43,8,37,6037222700,25.38,0.0,6.15,9.55,73.07,16.15,0.0,0.0,0.0,13133.7,3.85,2.31,0.0,0.11982298911400001
73.55,82.28,17.72,43.52,5.16,0.0,38.27,61.73,0.0,100.0,0.6505,12.22,3.06,91.15,,4.85,8.11,936,15.28,0.84,1.26,79.13,20.87,100.0,0.0,2.89,33.69,4.6,95.32,4.68,6.22,4.85,73.61,57.43,42.57,2.63,42.57,81,37,6037224700,15.06,0.0,2.35,8.88,66.03,2.14,0.0,0.74,2.67,26273.87,1.92,2.21,12.93,0.12734651878300005
54.77,69.58,30.42,31.47,17.700000000000003,2.17,75.51,24.49,52.87,47.13,0.6615,8.18,5.28,84.03,56250.0,9.32,2.28,785,6.75,8.9,1.35,88.21,11.79,67.97,32.03,3.52,42.76,9.35,92.65,7.35,5.28,3.52,54.27,51.52,48.48,5.28,48.48,396,59,6059062626,24.33,2.8,3.95,5.72,83.19,25.61,0.0,4.04,11.21,18602.2,10.19,3.73,0.0,0.13999258310800006
56.11,65.29,34.71,26.71,17.74,2.38,73.01,26.99,72.19,27.81,0.5778,9.98,6.22,89.38,88802.0,7.06,4.99,1218,3.29,5.99,3.15,91.24,8.76,100.0,0.0,3.49,56.36,5.9,93.65,6.35,5.53,7.37,76.85,38.23,61.77,4.22,61.77,163,83,6083002928,11.33,0.57,0.66,5.41,90.64,11.49,0.66,2.76,4.52,9461.613,1.72,6.98,1.4,0.15562110807200003
61.97,62.92,37.08,36.22,10.67,3.03,84.44,15.56,34.78,65.22,0.6157,9.81,2.38,86.37,80302.0,1.44,9.88,1352,20.78,3.1,2.16,84.72,15.28,82.5,17.5,2.32,33.07,10.88,93.95,6.05,1.88,4.62,55.47,60.97,39.03,1.23,39.03,135,1,6001422800,7.69,2.51,12.06,5.97,78.03,1.18,0.0,2.31,5.33,57521.34,4.88,7.36,6.21,0.15593893943200002
62.38,70.01,29.99,27.83,1.87,0.0,44.07,55.93,22.62,77.38,0.483,11.24,0.9,87.03,20909.0,14.57,7.49,1441,5.470000000000001,0.97,0.0,87.0,13.0,,,3.41,45.65,7.51,92.35,7.65,2.85,1.25,87.3,47.53,52.47,7.36,52.47,118,83,6083002924,12.14,0.62,4.16,6.82,92.09,8.47,0.0,4.3,3.54,36950.96,1.6,2.64,0.69,0.15786643467800007
57.29,63.96,36.04,39.54,10.78,3.75,76.74,23.26,100.0,0.0,0.6325,5.99,1.84,93.77,145703.0,2.25,5.53,1662,2.28,1.33,3.86,94.32,5.68,100.0,0.0,2.04,49.51,2.79,94.45,5.55,7.9,3.98,40.37,47.51,52.49,1.27,52.49,129,37,6037265305,14.26,0.0,0.6,2.98,91.16,16.25,0.0,0.0,14.14,33181.47,3.67,5.65,1.68,0.16103165110599998
64.17999999999999,61.03,38.97,32.41,4.5,0.0,85.71,14.29,20.0,80.0,0.7239,17.22,1.18,81.69,43371.0,3.53,4.92,913,12.6,1.5,1.82,85.2,14.8,79.12,20.88,2.35,42.49,15.67,93.24,6.76,8.24,6.1,46.55,50.13,49.87,5.45,49.87,175,37,6037221820,9.2,5.7,2.52,7.38,82.80000000000001,1.64,0.0,4.71,2.52,30748.21,1.97,6.52,4.38,0.161973449092
70.49000000000001,78.18,21.82,36.79,7.56,1.94,74.34,25.66,79.31,20.69,0.6305,11.38,0.58,90.07,,5.26,10.94,1330,2.1,3.02,2.02,90.3,9.7,,,3.48,45.78,6.08,94.16,5.84,4.82,6.12,74.59,49.31,50.69,2.45,50.69,113,37,6037265303,22.63,0.0,1.05,4.92,86.23,15.26,0.0,2.23,3.68,84559.04,3.46,2.16,1.05,0.16242545184900004
65.55,77.02,22.98,35.94,7.029999999999999,0.0,77.92,22.08,40.23,59.77,0.6129,4.84,4.84,86.53,37609.0,7.83,13.48,860,15.93,1.27,0.92,90.05,9.95,96.15,3.85,3.01,46.46,5.14,90.07,9.93,7.14,3.46,61.51,48.41,51.59,9.1,51.59,154,37,6037265304,24.07,0.0,9.77,5.13,75.22999999999999,2.91,0.0,0.0,6.51,63136.68,7.91,3.69,6.16,0.16653420053500004
