"% Households: Less than $30,000",% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level,"% Households: Less than $10,000","% Households: $100,000 or More","% Households: $150,000 to $199,999",% Families: Income At or Above Poverty Level,% Families: Income Below Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Gini Index,"% Households: $10,000 to $14,999","% Households: $125,000 to $149,999",% Total: with Health Insurance Coverage: Private Health Insurance,Median Family Income (In 2017 Inflation Adjusted Dollars),"% Households: $20,000 to $24,999","% Households: $15,000 to $19,999",Renter-Occupied Housing Units,"% Renter-Occupied Housing Units: Less than $1,000","% Households: $100,000 to $124,999","% Households: $200,000 or More",% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,% Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,Average Household Size,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage,% Total: No Health Insurance Coverage,"% Households: $30,000 to $34,999","% Households: $25,000 to $29,999",% Renter-Occupied Housing Units: Householder 15 to 24 Years,% Population 16 Years and Over: Not in Labor Force,% Population 16 Years and Over: in Labor Force,"% Households: $35,000 to $39,999",% Population 16 Years and Over: in Labor Force: Civilian,Families:,County,Census Tract,"% Renter-Occupied Housing Units: $2,000 to $2,499",% Renter-Occupied Housing Units: Less than $300,% Renter-Occupied Housing Units: $500 to $799,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,"% Renter-Occupied Housing Units: $1,000 to $2,499","% Renter-Occupied Housing Units: $2,500 to $2,999",% Renter-Occupied Housing Units: $300 to $499,"% Households: $40,000 to $44,999",% Renter-Occupied Housing Units: Householder 35 to 44 Years,Population Density (Per Sq. Mile),% Renter-Occupied Housing Units: Householder 45 to 54 Years,"% Households: $75,000 to $99,999",% Renter-Occupied Housing Units: $800 to $999,Predicted_Health_Opportunity_Index
80.12,57.89,42.11,44.84,0.92,0.0,39.56,60.44,22.4,77.6,0.6691,13.56,0.0,15.3,13659.0,5.08,13.56,535,95.88,0.0,0.92,58.99,41.01,74.38,25.62,2.41,32.82,70.23,80.86,19.14,6.93,3.08,22.43,44.37,55.63,2.93,55.63,450,107,37107010300,0.0,52.71,13.64,22.82,1.5,0.0,22.8,4.31,7.48,955.7201,12.15,1.23,6.73,0.2692124474339999
69.83999999999999,70.25,29.75,33.73,8.92,3.77,41.1,58.9,8.41,91.59,0.5837,17.06,0.99,32.43,25446.0,5.36,10.91,439,87.24000000000001,3.17,0.99,69.2,30.8,74.55,25.45,1.51,36.75,39.98,67.85,32.15,1.98,2.78,4.33,46.89,53.11,4.96,53.11,73,67,37067000200,0.0,37.13,30.52,16.36,7.06,0.0,11.39,2.38,20.96,1825.248,13.9,3.57,8.2,0.269429753987
67.16,53.67,46.33,28.48,7.98,3.06,45.84,54.16,20.31,79.69,0.5547,11.5,0.0,23.11,20306.0,7.51,13.36,715,80.0,4.92,0.0,71.11,28.89,74.42,25.58,2.86,46.83,75.74,91.64,8.36,5.75,6.31,5.31,34.15,65.85,1.48,65.85,722,147,37147000702,0.0,22.1,26.43,19.02,15.81,0.0,14.27,3.99,24.2,3124.445,23.22,1.76,17.2,0.26971847619899997
73.89000000000001,55.61,44.39,37.93,1.81,0.99,42.77,57.23,35.6,64.4,0.4833,12.81,0.0,44.42,22337.0,10.34,6.24,479,98.12,0.82,0.0,88.59,11.41,51.67,48.33,2.71,43.42,42.56,79.82,20.18,8.37,6.57,21.29,50.71,49.29,3.12,49.01,339,67,37067000802,0.0,31.52,32.78,5.59,1.88,0.0,18.16,1.15,19.62,2880.446,10.65,0.0,15.66,0.2715954884849999
64.41,45.65,54.35,26.07,3.62,0.0,44.5,55.5,13.04,86.96,0.7416,19.61,0.0,22.23,15809.0,4.16,8.87,733,76.26,0.88,2.74,85.33,14.67,81.33,18.67,2.6,39.47,68.46,83.12,16.88,11.83,5.7,18.01,53.75,46.25,4.93,46.25,609,63,37063001400,0.0,42.56,13.51,6.78,19.65,0.0,16.37,2.52,14.46,3243.571,17.33,2.52,3.82,0.2715954884849999
69.91,49.95,50.05,32.5,0.0,0.0,46.34,53.66,21.03,78.97,0.5034,15.51,0.0,20.12,18264.0,3.9,12.44,929,89.34,0.0,0.0,85.99,14.01,72.86,27.14,2.81,35.94,64.39,77.66,22.34,3.48,5.56,0.97,58.21,41.79,5.47,41.79,779,67,37067001602,0.0,20.99,48.76,5.85,8.07,0.0,5.38,3.73,19.16,2280.421,26.48,2.9,14.21,0.27194348241099997
74.69,48.67,51.33,32.94,2.6,1.59,43.14,56.86,25.45,74.55,0.5277,10.81,0.0,29.78,16993.0,7.38,14.0,866,84.53,1.01,0.0,73.76,26.24,75.61,24.39,2.11,39.79,64.89,85.51,14.49,4.11,9.56,7.16,46.06,53.94,4.19,53.94,612,129,37129011100,0.0,18.71,17.9,14.16,13.39,0.0,24.13,3.52,8.31,4608.219,10.39,4.27,23.79,0.272183009443
75.78,51.49,48.51,25.77,1.8,1.8,40.15,59.85,12.11,87.89,0.4353,5.93,0.0,13.38,18636.0,12.89,13.66,325,94.77,0.0,0.0,72.63,27.37,71.74,28.26,2.79,35.9,73.89,82.56,17.44,10.05,17.53,24.92,50.57,49.43,2.84,49.43,264,195,37195000200,0.0,24.0,45.23,13.53,5.23,0.0,21.85,1.8,17.85,2002.054,5.54,6.44,3.69,0.2723451256369999
68.33,47.61,52.39,36.08,3.98,0.0,41.96,58.04,21.93,78.07,0.5597,9.87,0.0,22.94,20357.0,10.16,8.69,513,96.29,3.24,0.74,72.24,27.76,47.11,52.89,2.13,34.2,66.53,82.61,17.39,2.36,3.53,3.9,52.66,47.34,2.36,47.34,336,195,37195000801,0.0,19.49,36.65,13.14,2.14,0.0,29.82,10.75,14.62,2297.962,14.62,0.0,10.33,0.2723451256369999
73.19,53.72,46.28,27.67,2.4800000000000004,0.0,43.39,56.61,17.8,82.2,0.5091,17.91,0.68,22.87,19125.0,6.9,16.79,1234,87.03,1.12,0.68,72.4,27.6,68.6,31.4,2.69,38.75,63.79,79.38,20.62,8.02,3.92,10.45,46.47,53.53,5.47,53.53,931,81,37081013900,0.0,25.93,29.9,14.77,4.86,0.0,15.24,1.55,11.75,4075.507,14.42,3.17,15.96,0.272427422193
76.09,49.84,50.16,31.53,1.35,0.0,43.87,56.13,27.66,72.34,0.628,18.23,0.29,23.44,16316.0,6.46,12.44,815,95.95,0.0,1.06,83.41,16.59,59.85,40.15,2.17,43.71,72.67,85.88,14.12,4.24,7.43,9.57,47.6,52.4,4.15,52.4,522,51,37051000200,0.0,25.4,26.99,8.69,0.61,0.0,34.6,3.47,5.03,878.0417,11.53,0.0,8.96,0.272625115459
70.68,73.15,26.85,52.63,0.0,0.0,25.62,74.38,15.28,84.72,0.5293,13.91,0.0,63.47,9844.0,1.88,0.0,261,95.02,0.0,0.0,81.12,18.88,88.89,11.11,3.27,32.55,27.89,87.37,12.63,12.78,2.26,5.75,59.87,40.13,7.89,40.13,160,67,37067000801,0.0,14.94,57.85,7.58,3.45,0.0,13.03,0.0,17.62,4066.958,29.89,0.0,9.2,0.27321884354
71.39,36.77,63.23,27.15,2.3,0.0,54.89,45.11,34.87,65.13,0.6197,21.33,0.36,32.57,21250.0,8.73,9.45,693,89.16999999999999,0.97,0.97,75.85,24.15,53.05,46.95,2.38,34.99,58.36,84.15,15.85,1.94,4.73,6.78,53.87,46.13,3.27,46.13,399,67,37067000301,0.0,20.63,25.54,11.14,4.76,0.0,29.15,6.18,14.72,5671.753,8.66,2.55,13.85,0.27321884354
62.99999999999999,50.74,49.26,35.26,1.47,0.0,48.12,51.88,22.88,77.12,0.496,10.47,0.0,27.62,19394.0,5.42,10.84,766,86.82,1.47,0.0,77.53,22.47,76.08,23.92,3.05,26.37,64.44,84.78,15.22,6.24,1.01,12.01,65.77,34.23,2.66,34.02,800,155,37155960801,0.0,37.86,13.58,7.64,6.01,0.0,27.02,5.97,16.97,420.0552,16.06,4.13,8.36,0.27321884354
71.85,54.21,45.79,37.22,1.57,0.81,41.62,58.38,18.87,81.13,0.4756,11.92,0.38,27.09,16146.0,5.02,11.11,1516,89.72,0.38,0.0,85.34,14.66,67.97,32.03,2.79,47.3,67.85,86.52,13.48,5.5,6.58,14.38,44.58,55.42,9.92,55.42,1295,81,37081011400,0.0,18.47,32.92,8.13,3.83,0.0,24.54,4.15,17.08,5298.776,14.78,0.0,13.79,0.27356683746599997
66.64,50.22,49.78,30.16,0.0,0.0,56.26,43.74,42.26,57.74,0.4795,16.63,0.0,18.34,18477.0,4.31,13.03,727,94.09,0.0,0.0,70.6,29.4,89.27,10.73,2.67,27.63,60.42,71.5,28.5,5.91,2.51,3.03,60.87,39.13,4.61,39.13,647,57,37057061400,0.0,30.26,30.54,11.5,3.71,0.0,13.76,7.01,33.7,1474.125,18.29,4.11,19.53,0.27356683746599997
