County name,life.expectancy
Fairfax,84.54
Virginia Beach,79.96
Prince William,81.52
Norfolk,75.3
Chesterfield,79.12
Richmond,76.41
Loudoun,83.91
Henrico,79.05
Arlington,84.5
Newport News,77.86
Chesapeake,78.21
Roanoke,74.16
Alexandria,83.21
Hampton,76.5
Portsmouth,73.98
Spotsylvania,79.07
Suffolk,77.36
Stafford,80.02
Hanover,79.38
Albemarle,81.43
Rockingham,80.36
Lynchburg,76.46
Fauquier,79.46
Pittsylvania,74.83
Montgomery,79.75
Danville,74.83
Bedford,78.79
Frederick,79.24
York,77.76
Henry,75.37
Washington,76.82
Augusta,77.95
Franklin,78
Charlottesville,81.43
Campbell,78.36
Wise,72.9
James City,81.52
Harrisonburg,80.36
Tazewell,73.05
Petersburg,69.12
Amherst,77.32
Smyth,74.37
Halifax,75.4
Mecklenburg,75.39
Shenandoah,78.4
Warren,76.48
Pulaski,75.51
Accomack,75.46
Gloucester,77.01
Botetourt,79.05
Culpeper,77.82
Isle of Wight,78.38
Caroline,77.14
Prince George,79.54
Buchanan,72.76
Russell,74.36
Manassas,81.52
Carroll,76.97
Alleghany,75.42
Staunton,77.95
Scott,74.99
Wythe,75.38
Dinwiddie,76.83
Hopewell,71.61
Fredericksburg,79.07
Louisa,78.08
Lee,74.2
Salem,75.51
Waynesboro,77.95
Colonial Heights,75.05
Martinsville,68.47
Winchester,77.32
Prince Edward,76.92
Orange,77.6
Goochland,80.18
Powhatan,80.09
King George,78.67
Grayson,76.16
Page,76.51
Rockbridge,78.67
Westmoreland,76.59
Brunswick,75.35
Buckingham,77.32
Dickenson,72.69
Fluvanna,80.88
Giles,75.14
Patrick,76.02
Bristol,73.07
King William,76.86
Nottoway,74.74
Southampton,75.65
Sussex,74.55
Middlesex,76.86
Lancaster,77.04
Williamsburg,81.75
Appomattox,77.04
Northampton,75.88
Radford,77.11
New Kent,78.5
Poquoson,79.53
Charles City,76.48
Charlotte,75.13
Clarke,78.66
Nelson,77.87
Lunenburg,75.6
Floyd,78.81
Essex,76.27
Greene,79.04
Falls Church,81.93
Northumberland,79.05
Madison,78.16
Amelia,76.06
King and Queen,76.95
Bland,75.26
Surry,77.02
Greensville,73.95
Galax,70.32
Mathews,78.56
Covington,71.42
Manassas Park,81.94
Cumberland,78.45
Rappahannock,80
Emporia,73.95
Norton,74.12
Buena Vista,78.61
Craig,78.07
Highland,79.27
Bath,75.94
Lexington,76.81
