"% Households: Less than $30,000",% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level,"% Households: Less than $10,000","% Households: $100,000 or More","% Households: $150,000 to $199,999",% Families: Income At or Above Poverty Level,% Families: Income Below Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Gini Index,"% Households: $10,000 to $14,999","% Households: $125,000 to $149,999",% Total: with Health Insurance Coverage: Private Health Insurance,Median Family Income (In 2017 Inflation Adjusted Dollars),"% Households: $20,000 to $24,999","% Households: $15,000 to $19,999",Renter-Occupied Housing Units,"% Renter-Occupied Housing Units: Less than $1,000","% Households: $100,000 to $124,999","% Households: $200,000 or More",% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,% Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,Average Household Size,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage,% Total: No Health Insurance Coverage,"% Households: $30,000 to $34,999","% Households: $25,000 to $29,999",% Renter-Occupied Housing Units: Householder 15 to 24 Years,% Population 16 Years and Over: Not in Labor Force,% Population 16 Years and Over: in Labor Force,"% Households: $35,000 to $39,999",% Population 16 Years and Over: in Labor Force: Civilian,Families:,County,Census Tract,"% Renter-Occupied Housing Units: $2,000 to $2,499",% Renter-Occupied Housing Units: Less than $300,% Renter-Occupied Housing Units: $500 to $799,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,"% Renter-Occupied Housing Units: $1,000 to $2,499","% Renter-Occupied Housing Units: $2,500 to $2,999",% Renter-Occupied Housing Units: $300 to $499,"% Households: $40,000 to $44,999",% Renter-Occupied Housing Units: Householder 35 to 44 Years,Population Density (Per Sq. Mile),% Renter-Occupied Housing Units: Householder 45 to 54 Years,"% Households: $75,000 to $99,999",% Renter-Occupied Housing Units: $800 to $999,Health Opportunity Index,Predicted_Health_Opportunity_Index
64.91,69.37,30.63,58.77,3.0700000000000003,0.0,82.76,17.24,100.0,0.0,0.676,2.19,0.0,94.56,32375.0,0.0,3.95,210,20.95,1.32,1.75,69.67,30.33,100.0,0.0,2.18,19.27,2.6,95.72,4.28,10.09,0.0,65.71,72.12,27.88,16.23,27.65,29,650,51650011400,0.0,10.95,0.0,8.39,79.04,0.0,7.62,0.0,4.29,3673.542,6.67,0.0,2.38,0.0,0.07696687898999999
72.91999999999999,71.48,28.52,32.93,14.15,1.71,73.33,26.67,0.0,100.0,0.6749,13.9,1.71,90.28,,10.73,8.29,328,40.85,3.41,7.32,67.33,32.67,97.5,2.5,2.2,28.26,5.1,93.09,6.91,1.71,7.07,56.1,58.02,41.98,1.71,41.98,60,760,51760040300,5.49,0.0,18.29,13.71,58.24,0.0,0.0,2.44,0.0,19028.78,16.16,2.44,22.56,0.0155576602,0.08258758456599992
60.21,66.87,33.13,26.94,6.73,1.45,68.04,31.96,49.09,50.91,0.56,12.44,0.83,84.71,47569.0,7.98,8.19,805,49.44,2.38,2.07,83.3,16.7,100.0,0.0,2.91,39.89,6.72,89.27,10.73,3.63,4.66,58.88,52.11,47.89,8.19,47.89,219,710,51710002600,5.34,0.0,25.09,8.0,49.19,2.11,0.0,4.04,2.61,14843.08,5.84,7.15,24.35,0.1015642551,0.13441151097499981
10.589999999999998,8.45,91.55,3.31,59.23,16.2,91.77,8.23,48.23,51.77,0.4121,3.07,12.14,85.15,163036.0,0.85,1.75,1636,4.4,10.25,20.64,99.97,0.03,100.0,0.0,1.76,78.45,8.41,92.75,7.25,0.0,1.61,16.63,20.61,79.39,0.76,78.47,583,13,51013101701,36.06,1.34,0.0,0.03,75.97,14.24,0.0,5.01,21.03,44220.11,3.91,15.92,3.06,0.0328607707,0.13529078687999985
58.56,55.08,44.92,16.15,6.41,0.0,72.04,27.96,61.98,38.02,0.4535,6.29,1.48,85.01,26971.0,12.33,13.56,602,35.870000000000005,3.45,1.48,88.86,11.14,63.83,36.17,3.27,42.92,9.43,91.81,8.19,3.7,10.23,41.36,51.42,48.58,4.69,48.3,329,710,51710002500,12.62,9.63,7.14,5.38,59.96,1.66,7.64,7.27,4.32,10131.44,6.81,1.48,11.46,0.077872642,0.13606684617500023
48.6,51.0,49.0,19.54,25.41,5.15,94.69,5.31,100.0,0.0,0.6451,10.1,1.82,91.32,139000.0,3.0,10.81,1115,41.35,6.45,11.99,88.43,11.57,83.73,16.27,2.07,56.86,19.24,96.92,3.08,5.47,5.15,39.91,35.71,64.29,2.93,64.29,358,760,51760040400,4.39,9.78,13.81,7.44,53.89,3.23,3.86,3.06,7.35,17905.62,1.35,4.3,13.9,0.085121463,0.14919791655300008
47.43000000000001,41.16,58.84,24.87,5.93,1.45,77.49,22.51,100.0,0.0,0.5368,5.33,0.94,78.68,37303.0,7.42,2.56,2253,37.73,0.98,2.56,90.6,9.4,87.16,12.84,1.39,52.45,15.44,85.05,14.95,6.06,7.25,23.97,41.54,58.46,3.46,57.9,231,760,51760030500,0.89,0.0,8.97,5.44,59.08,1.07,0.0,3.2,8.34,4763.87,4.53,7.72,28.76,0.0940731655,0.15310858851999984
6.44,6.99,93.01,2.19,54.45,16.24,91.97,8.03,100.0,0.0,0.3542,2.53,11.24,92.88,138295.0,0.89,0.6,2578,0.58,15.04,11.93,96.23,3.77,96.37,3.63,1.65,79.65,9.98,95.79,4.21,2.36,0.23,11.68,16.61,83.39,0.78,82.77,772,13,51013101403,29.64,0.0,0.0,3.12,90.08,25.45,0.0,1.12,16.25,49118.6,4.93,21.65,0.58,0.0914171972,0.15346488513600007
56.330000000000005,31.91,68.09,25.1,7.21,1.24,77.88,22.12,49.13,50.87,0.5399,11.43,0.75,39.34,34107.0,7.13,8.2,776,81.96000000000001,4.14,1.08,85.34,14.66,74.04,25.96,2.3,41.96,46.32,80.49,19.51,11.35,4.47,19.97,50.84,49.16,2.98,49.16,642,680,51680000600,0.0,26.16,28.48,7.21,8.25,0.0,22.29,3.4,17.53,4297.562,11.08,10.85,5.03,0.102881148,0.1570523165869999
58.07999999999999,67.47,32.53,38.05,5.510000000000001,1.36,65.06,34.94,57.19,42.81,0.5628,5.72,2.15,84.96,61779.0,4.43,6.8,1090,45.05,2.0,0.0,97.48,2.52,86.78,13.22,3.24,44.26,9.38,91.48,8.52,5.01,3.08,60.0,54.59,45.41,6.94,45.41,269,540,51540000202,0.37,0.46,17.16,1.15,49.37,7.25,3.12,6.01,10.92,13942.29,2.29,2.15,24.31,0.1497028184,0.16756785417300002
